"1","Unasigned","6/20/2014 17:13:30","6/20/2014 17:13:30"
"2","Cables","6/26/2014 12:55:02","6/26/2014 12:55:02"
"3","Redes","6/26/2014 12:55:07","6/26/2014 12:55:07"
"4","Almacenamiento","6/26/2014 12:55:15","6/26/2014 12:55:15"
"5","Consumibles","6/26/2014 12:55:23","6/26/2014 12:55:23"
"6","Proteccion de Poder","6/26/2014 12:58:33","6/26/2014 12:58:33"
"7","Perifericos","6/26/2014 12:59:23","6/26/2014 12:59:23"
"8","Cargadores","6/26/2014 12:59:28","6/26/2014 12:59:28"
"9","Limpieza","6/26/2014 12:59:33","6/26/2014 12:59:33"
"10","Partes de Computadora","6/26/2014 12:59:44","6/26/2014 12:59:44"
"11","Impresoras","6/26/2014 12:59:47","6/26/2014 12:59:47"
"12","Estuches","6/26/2014 12:59:53","6/26/2014 12:59:53"
"13","Adaptadores","6/26/2014 12:59:59","6/26/2014 12:59:59"
"14","Baterias","6/26/2014 13:00:03","6/26/2014 13:00:03"
"15","Accesorios","6/26/2014 13:00:08","6/26/2014 13:00:08"
"16","Software","6/26/2014 13:01:10","6/26/2014 13:01:10"
"17","Tablets","6/26/2014 13:01:16","6/26/2014 13:01:16"
"18","Nintendos","6/26/2014 13:01:41","6/26/2014 13:01:41"
"19","Pantallas de Proyeccion","6/26/2014 13:01:51","6/26/2014 13:01:51"
"20","Proyectores","6/26/2014 13:01:56","6/26/2014 13:01:56"
"21","Maletines","6/26/2014 13:02:09","6/26/2014 13:02:09"
"22","Ventiladores","6/26/2014 13:02:14","6/26/2014 13:02:14"
"23","Portatiles","6/26/2014 13:02:19","6/26/2014 13:02:19"
"24","Audio","6/26/2014 13:02:55","6/26/2014 13:02:55"
"25","Computadoras","6/27/2014 15:36:06","6/27/2014 15:36:06"
"26","Monitores","6/27/2014 15:51:58","6/27/2014 15:51:58"
"27","Sillas","0/0/0000 00:00:00","0/0/0000 00:00:00"
"28","Muebles","0/0/0000 00:00:00","0/0/0000 00:00:00"
"29","Soporte","0/0/0000 00:00:00","0/0/0000 00:00:00"
